time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20070117:2300,10.52,50.1,0,0,0,274,2.14,58,90956
20070118:0000,9.93,51.95,0,0,0,273,2.07,63,90964
20070118:0100,9.38,56.5,0,0,0,272,2.07,67,90991
20070118:0200,9.19,64.55,20,0,20,271.2,1.93,73,91063
20070118:0300,13.35,50.1,243,587.61,82,273.2,1.52,77,91134
20070118:0400,17.25,34.75,451,718.53,122,279.8,1.86,81,91197
20070118:0500,19.7,26.2,627,808.02,141,287.4,1.79,84,91215
20070118:0600,21.47,21.55,744,854.72,150,295,1.31,87,91125
20070118:0700,22.37,19.75,782,840.15,167,299.6,1.17,72,91018
20070118:0800,23.18,19,746,798.52,179,303.8,1.03,49,90893
20070118:0900,23.58,18.85,651,776.99,161,307.2,1.31,32,90777
20070118:1000,23.52,19.1,488,689.2,144,308,1.52,25,90777
20070118:1100,22.92,19.7,293,600.9,98,308.6,1.79,23,90759
20070118:1200,21.4,23.45,76,278.05,43,308.4,1.59,22,90795
20070118:1300,19.14,28.1,0,0,0,304,1.72,33,90866
20070118:1400,17.28,32.75,0,0,0,302,1.79,40,90947
20070118:1500,15.7,39.05,0,0,0,298.8,1.72,49,91000
20070118:1600,14.19,47.55,0,0,0,296,1.66,63,91036
20070118:1700,13.1,52.05,0,0,0,293.2,1.59,72,91000
20070118:1800,12.53,52.1,0,0,0,290.8,1.52,72,91000
20070118:1900,11.89,52.95,0,0,0,289,1.59,72,90920
20070118:2000,11.71,52.2,0,0,0,287.8,1.45,79,90911
20070118:2100,11.75,50.75,0,0,0,287.2,1.24,84,90848
20070118:2200,11.91,49.05,0,0,0,286,1.17,89,90866
20070118:2300,11.88,48.45,0,0,0,285.6,1.17,94,90831
20070119:0000,11.71,48.7,0,0,0,285.2,1.17,99,90839
20070119:0100,11.41,50.4,0,0,0,284.6,1.17,107,90875
20070119:0200,11.4,52.8,20,0,20,284.2,1.17,117,90938
20070119:0300,13.8,64.9,238,535,91,287.6,0.55,128,91009
20070119:0400,19.73,33.25,453,718.82,123,294.8,0.76,145,91054
20070119:0500,21.73,26.6,629,809.14,141,303.4,0.97,191,91063
20070119:0600,23.26,25,746,856.5,149,310.4,1.17,231,90982
20070119:0700,24.02,25.25,793,872.8,152,315.6,1.45,246,90875
20070119:0800,24.74,24.65,761,846.01,158,319,1.79,260,90750
20070119:0900,25.05,24.35,658,792.4,156,321.8,2.07,269,90652
20070119:1000,24.95,24.35,500,730.95,133,323,2.21,280,90652
20070119:1100,24.31,25,290,558.89,107,322.6,2.21,294,90616
20070119:1200,22.69,29.2,79,296.41,43,320,1.72,315,90670
20070119:1300,20.54,33.8,0,0,0,315.2,1.72,338,90714
20070119:1400,18.51,40.95,0,0,0,311.8,1.59,357,90795
20070119:1500,16.69,53.25,0,0,0,307.8,1.38,8,90839
20070119:1600,16.55,48.35,0,0,0,304.2,1.03,17,90866
20070119:1700,17.39,41.2,0,0,0,301.6,0.69,31,90875
20070119:1800,17.01,41.95,0,0,0,299.4,0.48,45,90857
20070119:1900,16.66,43,0,0,0,297.6,0.28,97,90813
20070119:2000,16.3,43.65,0,0,0,296.4,0.28,138,90777
20070119:2100,16.05,43.95,0,0,0,294.6,0.41,158,90732
20070119:2200,15.96,43.8,0,0,0,293.6,0.48,169,90706
20070119:2300,16.06,42.95,0,0,0,292.8,0.34,166,90697
20070120:0000,16.28,41.9,0,0,0,291.8,0.28,163,90714
20070120:0100,16.34,41.25,0,0,0,291.2,0.28,158,90732
20070120:0200,16.41,41.05,21,0,21,291.2,0.28,150,90786
20070120:0300,17.43,43.55,232,486.16,98,295,0.21,169,90857
20070120:0400,21.18,35.15,439,642.95,143,301.8,0.55,285,90893
20070120:0500,22.84,30.45,624,780.38,152,311,1.38,289,90884
20070120:0600,24,28.6,741,825.29,164,317.8,2,290,90831
20070120:0700,24.61,28.25,792,857.65,160,323.8,2.21,292,90741
20070120:0800,25.13,27.55,765,846.95,159,327.8,2.48,293,90643
20070120:0900,25.3,27.4,661,793.48,156,330.2,2.62,292,90545
20070120:1000,25.09,27.85,498,704.84,142,330.4,2.55,291,90580
20070120:1100,24.44,29,293,562.99,107,329.8,2.34,291,90554
20070120:1200,23.02,33.45,82,313.9,43,326.6,1.59,298,90589
20070120:1300,20.97,40.3,0,0,0,321.8,1.38,317,90616
20070120:1400,19.19,51.55,0,0,0,318,1.1,340,90679
20070120:1500,18.48,49.35,0,0,0,315.2,1.03,359,90714
20070120:1600,19.03,43.4,0,0,0,312.4,0.83,14,90750
20070120:1700,18.63,43.85,0,0,0,310.2,0.48,31,90759
20070120:1800,18.09,45,0,0,0,307.6,0.34,32,90759
20070120:1900,17.81,45.8,0,0,0,306.8,0.14,298,90723
20070120:2000,17.57,46.3,0,0,0,304.6,0.14,266,90697
20070120:2100,17.38,46.7,0,0,0,303,0.14,268,90634
20070120:2200,17.26,46.9,0,0,0,301.6,0.28,286,90643
20070120:2300,17.16,47.1,0,0,0,301.6,0.34,308,90634
20070121:0000,17.06,47.3,0,0,0,301.2,0.41,325,90634
20070121:0100,16.92,47.8,0,0,0,300.8,0.48,336,90679
20070121:0200,16.76,48.45,21,0,21,301.4,0.34,344,90759
20070121:0300,17.83,49.85,241,545.96,90,304,0.07,290,90875
20070121:0400,21.01,42.3,433,606.39,153,310,0.48,296,90929
20070121:0500,22.76,37.6,633,811.04,141,318.2,1.03,290,90956
20070121:0600,23.96,32.65,747,841.24,157,324,1.66,294,90884
20070121:0700,24.5,31.2,795,858.76,160,328.4,2.14,304,90813
20070121:0800,24.93,30.3,760,817.19,173,331,2.34,307,90714
20070121:0900,25.03,30.15,665,794.49,157,332.2,2.48,309,90616
20070121:1000,24.78,30.7,501,706.55,142,332.2,2.41,311,90598
20070121:1100,24.04,32.2,298,575.98,106,330.4,2.41,316,90598
20070121:1200,22.55,36.65,80,259.76,47,327.4,1.93,325,90652
20070121:1300,20.6,42,0,0,0,322,1.86,337,90714
20070121:1400,19.06,47.5,0,0,0,317,1.72,347,90795
20070121:1500,17.59,54.6,0,0,0,313,1.59,354,90857
20070121:1600,16.13,63.15,0,0,0,310.4,1.52,355,90902
20070121:1700,15.22,66.4,0,0,0,308,1.45,356,90911
20070121:1800,14.47,68.35,0,0,0,305.8,1.52,359,90884
20070121:1900,13.71,72.2,0,0,0,304.4,1.66,12,90857
20070121:2000,12.97,75.1,0,0,0,302.2,1.66,24,90848
20070121:2100,12.24,77.9,0,0,0,300,1.72,32,90822
20070121:2200,11.68,79.8,0,0,0,298.4,1.79,40,90813
20070121:2300,11.21,81.3,0,0,0,296.6,1.79,48,90831
20070122:0000,10.8,82.35,0,0,0,295.2,1.72,54,90866
20070122:0100,10.44,83.6,0,0,0,294.2,1.79,55,90920
20070122:0200,10.48,84.1,21,0,21,293.4,1.66,56,91009
20070122:0300,14.9,67.15,248,601.57,81,296,1.31,51,91063
20070122:0400,18.28,53.05,457,721.06,123,302.8,1.59,46,91072
20070122:0500,20.64,45.45,628,780.59,153,311.2,1.38,29,91054
20070122:0600,22.33,40.8,750,842.79,157,319.4,1.24,350,90964
20070122:0700,23.18,38.4,790,827.45,176,324.2,1.38,335,90875
20070122:0800,23.98,36.4,771,848.63,159,328.8,1.86,322,90777
20070122:0900,24.27,35.2,668,795.44,157,331.2,2.28,320,90679
20070122:1000,24.04,35.05,507,721.9,138,332,2.55,323,90643
20070122:1100,23.19,36.5,301,579.79,106,330,2.55,331,90643
20070122:1200,21.68,40.8,89,346.56,44,325.8,2.14,343,90679
20070122:1300,19.73,46.3,0,0,0,320.2,2,353,90750
20070122:1400,18.3,51.25,0,0,0,313.4,1.86,5,90831
20070122:1500,17.05,56.05,0,0,0,308.6,1.79,12,90902
20070122:1600,15.89,60.9,0,0,0,305,1.79,17,90947
20070122:1700,14.75,66.4,0,0,0,302.8,1.72,24,90956
20070122:1800,13.73,70.05,0,0,0,300.8,1.79,31,90964
20070122:1900,13.07,70.55,0,0,0,301,1.86,51,90964
20070122:2000,12.38,70.95,0,0,0,299,1.86,54,90938
20070122:2100,11.8,70.1,0,0,0,296.8,1.86,55,90902
20070122:2200,11.28,68.6,0,0,0,294.6,1.86,57,90866
20070122:2300,10.83,67,0,0,0,292.6,1.86,58,90893
20070123:0000,10.42,66.05,0,0,0,291.2,1.79,61,90893
20070123:0100,10.03,67.3,0,0,0,290.2,1.79,65,90956
20070123:0200,10.07,71.15,21,0,21,289.8,1.66,69,91036
20070123:0300,14.69,52.45,243,548.94,90,292.8,1.17,68,91125
20070123:0400,18.77,40.65,459,722.98,123,299.6,1.31,63,91179
20070123:0500,21.23,37.35,640,827.24,135,308.8,1.03,61,91197
20070123:0600,22.74,36.8,753,842.83,158,317,0.34,25,91125
20070123:0700,23.69,36.85,793,828.52,176,324.2,0.34,332,91009
20070123:0800,24.46,35.05,775,850.75,159,328.4,1.03,318,90911
20070123:0900,24.8,33.8,664,768.45,168,330.6,1.66,320,90813
20070123:1000,24.63,33.1,494,645.63,162,331,2.14,329,90777
20070123:1100,23.78,33.6,306,592.35,105,329.6,2.34,344,90795
20070123:1200,22.18,36.25,86,278.9,49,325.6,2.21,357,90795
20070123:1300,20,39.8,0,0,0,319.4,2.21,9,90866
20070123:1400,18.38,42.7,0,0,0,313.4,2.07,23,90938
20070123:1500,17.17,44.55,0,0,0,307.6,2.07,36,91027
20070123:1600,16.09,45.85,0,0,0,302.4,2.14,45,91054
20070123:1700,15.19,46.35,0,0,0,298.8,2.14,53,91072
20070123:1800,14.46,46.05,0,0,0,296.2,2.14,58,91054
20070123:1900,14.04,45.3,0,0,0,295.6,2.14,63,91000
20070123:2000,13.38,45.3,0,0,0,293.4,2,67,90956
20070123:2100,12.61,47.1,0,0,0,291.4,1.86,73,90902
20070123:2200,11.75,50.9,0,0,0,289.6,1.79,76,90893
20070123:2300,11,54.7,0,0,0,288.6,1.72,79,90893
20070124:0000,10.57,56.1,0,0,0,288,1.66,79,90911
20070124:0100,10.32,59.8,0,0,0,287.6,1.66,75,90964
20070124:0200,10.42,65.5,22,0,22,290,1.66,72,91054
20070124:0300,15.02,52,237,500.15,97,290.6,1.1,65,91134
20070124:0400,19.55,39,461,722.62,124,298,1.24,56,91223
20070124:0500,21.94,36,636,798.37,147,306.4,1.1,52,91215
20070124:0600,23.45,35.05,739,782.09,185,314.4,0.83,10,91152
20070124:0700,23.86,34.6,787,797.41,191,318.6,1.72,355,91036
20070124:0800,24.45,32.05,766,804.66,181,321.4,2.07,350,90920
20070124:0900,24.65,30,645,683.07,202,322.4,2.34,352,90831
20070124:1000,24.37,29.05,539,850.52,99,321.6,2.41,357,90804
20070124:1100,23.55,28.95,310,595.9,106,319.2,2.48,4,90831
20070124:1200,21.97,31.05,83,228.8,52,314.6,2.21,9,90786
20070124:1300,19.77,33.8,0,0,0,308,2.14,20,90857
20070124:1400,18.2,35.8,0,0,0,301.2,2.07,33,90920
20070124:1500,16.91,37.3,0,0,0,296.6,2.07,44,91000
20070124:1600,15.73,39.05,0,0,0,292.2,1.93,54,91054
20070124:1700,14.5,42.4,0,0,0,289,1.86,59,91072
20070124:1800,13.21,48,0,0,0,286.8,1.79,60,91036
20070124:1900,12.16,51.15,0,0,0,282,1.86,59,91009
20070124:2000,11.27,54.05,0,0,0,280.6,1.79,59,90938
20070124:2100,10.77,54.65,0,0,0,278.4,1.79,58,90902
20070124:2200,10.36,54.85,0,0,0,277.4,1.79,58,90884
20070124:2300,10.08,54.8,0,0,0,275.8,1.79,59,90875
20070125:0000,9.8,55,0,0,0,275,1.79,62,90875
20070125:0100,9.46,58.1,0,0,0,273.8,1.79,65,90920
20070125:0200,9.55,62.3,22,0,22,272.6,1.72,67,90956
20070125:0300,13.52,64.1,252,604.57,82,274.8,1.1,67,91036
20070125:0400,19.62,31.15,463,724.27,124,281.4,1.24,65,91063
20070125:0500,22.3,22.15,638,798.89,147,289.4,1.17,60,91045
20070125:0600,24.13,17.15,758,845.49,157,296.4,1.03,43,90982
20070125:0700,25.38,13.95,799,830.45,176,301.8,1.38,26,90902
20070125:0800,26.14,13.45,778,836.97,167,305.4,1.52,26,90777
20070125:0900,26.46,13.65,668,755,176,308.2,1.66,30,90679
20070125:1000,26.34,14.25,513,701.31,148,309.6,1.79,33,90661
20070125:1100,25.64,15.4,315,608.05,105,309.2,1.86,34,90625
20070125:1200,23.74,20.3,93,310.89,50,307.4,1.59,30,90616
20070125:1300,21.03,24.9,0,0,0,303,1.79,40,90670
20070125:1400,18.92,29.95,0,0,0,300,1.86,49,90750
20070125:1500,17.11,36.6,0,0,0,297,1.86,61,90804
20070125:1600,15.36,46.7,0,0,0,294,1.72,72,90866
20070125:1700,14.65,46.6,0,0,0,291.2,1.52,83,90875
20070125:1800,14.46,44.95,0,0,0,288.8,1.31,93,90839
20070125:1900,14.44,43.1,0,0,0,287.4,1.17,110,90804
20070125:2000,14.7,40.65,0,0,0,285.8,1.03,119,90759
20070125:2100,14.99,38.65,0,0,0,285,0.97,125,90697
20070125:2200,15.07,37.65,0,0,0,283.8,0.9,123,90706
20070125:2300,15.18,36.6,0,0,0,282.6,0.83,122,90697
20070126:0000,15.31,35.55,0,0,0,281.8,0.83,121,90679
20070126:0100,15.44,34.4,0,0,0,280.8,0.83,129,90741
20070126:0200,15.58,34.3,22,0,22,280.6,0.97,142,90804
20070126:0300,17.02,39.55,253,605.19,82,284,0.76,158,90857
20070126:0400,22.04,29.25,464,725.79,123,290.6,1.1,183,90911
20070126:0500,23.96,22.55,641,799.31,148,299.8,1.79,190,90920
20070126:0600,25.27,20.6,761,845.28,158,306.8,1.93,194,90848
20070126:0700,26.35,18.95,807,847.25,169,313.6,1.45,204,90741
20070126:0800,27.07,17.9,773,806.22,182,317.2,1.38,209,90643
20070126:0900,27.4,17.35,672,757.49,176,319.6,1.38,215,90545
20070126:1000,27.34,17.25,516,702.83,148,321,1.17,221,90500
20070126:1100,26.89,17.85,320,622.84,103,320.2,0.97,230,90500
20070126:1200,25.48,31.25,96,325.91,50,318,0.62,256,90509
20070126:1300,24.24,21.45,0,0,0,312.2,0.28,341,90598
20070126:1400,22.62,25,0,0,0,308.4,0.41,41,90670
20070126:1500,21.39,28.1,0,0,0,305.8,0.62,63,90786
20070126:1600,20.57,30,0,0,0,304,0.76,85,90822
20070126:1700,19.69,31.85,0,0,0,302.4,0.83,99,90866
20070126:1800,18.94,33.25,0,0,0,300.4,0.76,111,90839
20070126:1900,18.11,34.55,0,0,0,300,1.03,147,90786
20070126:2000,17.05,37.65,0,0,0,298.4,1.1,152,90768
20070126:2100,16.36,39.85,0,0,0,296.6,1.1,159,90714
20070126:2200,15.9,41.5,0,0,0,295.2,1.17,165,90706
20070126:2300,15.94,41.55,0,0,0,294,1.1,166,90723
20070127:0000,15.8,42.4,0,0,0,292.8,1.17,164,90741
20070127:0100,15.42,44.5,0,0,0,292,1.24,160,90813
20070127:0200,14.89,48.7,22,0,22,291.2,1.31,158,90866
20070127:0300,17.47,50.95,248,552.82,91,294,0.76,161,90947
20070127:0400,22.66,36,469,739.89,120,300.6,1.03,176,90991
20070127:0500,24.39,27,643,799.64,148,309.6,1.59,182,91000
20070127:0600,25.54,24.3,756,815.68,172,316.6,1.31,188,90938
20070127:0700,26.31,23.2,810,847.98,169,322.2,1.17,186,90839
20070127:0800,26.92,22.1,776,806.93,182,326.8,0.9,193,90741
20070127:0900,27.24,21.4,687,802.47,159,329,0.69,195,90643
20070127:1000,27.23,21.2,520,704.3,149,329.4,0.55,188,90607
20070127:1100,26.84,21.2,316,580.46,112,328.2,0.34,177,90589
20070127:1200,25.36,40.8,99,333.4,51,325.6,0.62,188,90589
20070127:1300,22.93,37.1,0,0,0,319.6,0.76,174,90652
20070127:1400,21.58,35.7,0,0,0,316,1.03,156,90750
20070127:1500,19.11,43.6,0,0,0,313.8,1.38,155,90813
20070127:1600,17.44,48.75,0,0,0,311.4,1.52,159,90875
20070127:1700,16.08,53.5,0,0,0,310,1.59,156,90902
20070127:1800,15.31,56.2,0,0,0,308,1.52,157,90893
20070127:1900,15.39,56.05,0,0,0,306.6,1.45,155,90875
20070127:2000,15.41,55.65,0,0,0,305.4,1.31,161,90822
20070127:2100,15.49,55.15,0,0,0,303.4,1.17,170,90786
20070127:2200,15.46,55.15,0,0,0,301.4,1.1,172,90813
20070127:2300,15.55,54.55,0,0,0,298.6,1.1,167,90759
20070128:0000,15.9,52.85,0,0,0,296.8,1.03,158,90777
20070128:0100,16.29,51,0,0,0,297.8,1.03,147,90848
20070128:0200,16.43,50.6,23,0,23,298.4,1.03,136,90911
20070128:0300,18.17,51.05,244,514.85,97,310,0.62,134,90982
20070128:0400,22.82,39.15,476,768.55,112,313.8,0.83,151,91036
20070128:0500,24.54,30.65,639,770.91,160,326.8,1.66,164,91054
20070128:0600,25.63,28.35,738,740.3,206,332.6,2,171,91018
20070128:0700,26.3,28.4,796,785.41,200,340.4,2.28,171,90902
20070128:0800,26.85,27.65,784,823.82,175,347.6,2.34,174,90804
20070128:0900,27.04,27.5,664,701.79,200,353,2.28,176,90679
20070128:1000,26.95,27.7,485,543.46,197,349.8,2.14,176,90688
20070128:1100,26.39,28.65,274,341.33,153,363,2.07,176,90616
20070128:1200,25.06,32.7,108,415.53,47,351.8,1.72,181,90643
20070128:1300,23.35,37.2,0,0,0,354,1.66,181,90706
20070128:1400,21.65,44.85,0,0,0,347.2,1.52,178,90759
20070128:1500,19.98,51.65,0,0,0,338.2,1.59,173,90822
20070128:1600,18.45,57.7,0,0,0,331.2,1.72,167,90893
20070128:1700,17.15,62.9,0,0,0,326.2,1.72,163,90911
20070128:1800,16.14,66.9,0,0,0,321.4,1.59,165,90920
20070128:1900,15.93,67.3,0,0,0,325.8,1.52,165,90866
20070128:2000,15.74,66.35,0,0,0,316.8,1.31,171,90822
20070128:2100,16.2,62.5,0,0,0,316.8,1.1,174,90759
20070128:2200,16.27,61,0,0,0,317.4,1.03,176,90759
20070128:2300,16.49,59,0,0,0,324.2,0.97,173,90688
20070129:0000,17.04,55.7,0,0,0,335.2,0.97,164,90723
20070129:0100,17.36,53.6,0,0,0,331.85,0.97,153,90750
20070129:0200,16.42,59.15,23,0,23,329,1.17,146,90813
20070129:0300,18.68,62.65,134,45.28,121,365.6,0.83,150,90893
20070129:0400,21.71,47.15,386,359.53,215,353,1.24,162,90929
20070129:0500,23.82,37.05,502,320.65,302,359.4,2.28,173,90947
20070129:0600,24.82,35.65,677,540.66,287,374.8,2.41,181,90902
20070129:0700,25.75,34.9,708,515.87,315,377.8,2.41,184,90813
20070129:0800,26.42,33.3,660,441.81,332,364.4,2.28,185,90679
20070129:0900,26.81,32.15,563,383.81,308,361.4,2.14,185,90580
20070129:1000,26.77,31.85,488,543.96,198,357,2.07,185,90572
20070129:1100,26.36,32.15,178,53.14,159,350.2,2.07,192,90545
20070129:1200,25.08,35.9,88,187.13,60,349,1.72,200,90527
20070129:1300,23.23,41.65,0,0,0,346.4,1.38,203,90643
20070129:1400,22.48,44.8,0,0,0,342,0.55,195,90706
20070129:1500,21.95,44.3,0,0,0,343.8,0.28,83,90804
20070129:1600,21.23,46.85,0,0,0,341.8,0.48,76,90831
20070129:1700,20.73,48.6,0,0,0,342.6,0.55,55,90866
20070129:1800,20.33,49.95,0,0,0,350.8,0.55,58,90866
20070129:1900,19.78,50.95,0,0,0,363.8,0.41,216,90866
20070129:2000,19.55,51.65,0,0,0,350,0.41,167,90804
20070129:2100,19.36,52.25,0,0,0,344.6,0.34,196,90768
20070129:2200,19.27,52.5,0,0,0,348.4,0.48,219,90786
20070129:2300,19.25,52.65,0,0,0,355.4,0.41,213,90786
20070130:0000,19.12,53.2,0,0,0,343.4,0.41,253,90777
20070130:0100,18.93,53.9,0,0,0,340.05,0.21,266,90857
20070130:0200,18.82,54.75,24,0,24,337.8,0.28,203,90884
20070130:0300,19.59,69.35,261,623.25,81,344,0.28,190,90991
20070130:0400,23.55,47,403,416.57,204,350.4,0.76,205,91018
20070130:0500,25.25,40.6,637,744.19,171,358.6,1.24,192,91045
20070130:0600,26.38,38.1,761,802.35,180,370.8,1.59,188,90956
20070130:0700,26.11,40.8,607,283.72,390,380.4,1.66,199,90848
20070130:0800,26.68,37.85,752,692.08,236,378.4,1.59,215,90723
20070130:0900,26.8,37.65,690,775.87,172,378.8,1.59,224,90625
20070130:1000,26.96,37.55,528,695.47,155,369.8,1.72,230,90634
20070130:1100,26.58,38,335,646.13,102,369.2,1.79,236,90616
20070130:1200,25.48,40.85,114,426.38,49,379.4,1.17,264,90643
20070130:1300,23.57,50.85,0,0,0,373,0.62,317,90706
20070130:1400,22.29,59.85,0,0,0,371.2,0.62,27,90786
20070130:1500,21.19,62.55,0,0,0,364.2,0.83,46,90848
20070130:1600,20.06,66.55,0,0,0,377.6,1.31,45,90893
20070130:1700,19.21,68.3,0,0,0,364.2,1.52,42,90920
20070130:1800,18.26,74.15,0,0,0,352.6,1.38,47,90920
20070130:1900,20.6,53.45,0,0,0,346,0.21,120,90911
20070130:2000,20.39,54,0,0,0,341.8,0.21,71,90866
20070130:2100,20.23,54.45,0,0,0,344,0.34,38,90848
20070130:2200,20.04,55.1,0,0,0,348.4,0.55,20,90813
20070130:2300,18.65,61.45,0,0,0,345,1.1,5,90848
20070131:0000,17.16,68.75,0,0,0,344.8,1.38,0,90875
20070131:0100,16.31,74.15,0,0,0,342.25,1.45,8,90947
20070131:0200,16.02,79.05,25,0,25,342.8,1.45,20,91027
20070131:0300,19.63,64.2,251,526.55,98,339,1.03,23,91072
20070131:0400,22.35,49.25,471,704.37,133,341.6,1.52,31,91143
20070131:0500,24.45,41.65,647,774.61,160,347.8,1.66,22,91125
20070131:0600,25.73,39.35,781,866.64,151,354.4,1.86,352,91090
20070131:0700,26.42,39.1,824,851.66,170,360.8,2.48,331,90938
20070131:0800,26.7,37,796,826.67,177,376.4,2.76,325,90848
20070131:0900,26.98,34.6,663,663.29,218,362.6,3.03,320,90741
20070131:1000,26.73,33.55,522,657.97,167,374.6,3.1,319,90697
20070131:1100,26.05,33.8,333,613.2,110,354.4,3.03,322,90670
20070131:1200,24.83,36.65,107,322.04,57,355.8,2.41,331,90732
20070131:1300,23.11,41.05,0,0,0,349.8,2.21,340,90786
20070131:1400,21.84,45.7,0,0,0,339.8,1.93,348,90884
20070131:1500,20.73,50.9,0,0,0,339.2,1.66,353,90911
20070131:1600,14.48,77.39,0,0,0,327.2,1.76,356,90902
20070131:1700,14.99,74.21,0,0,0,325.48,1.71,358,90920
20070131:1800,15.5,71.03,0,0,0,323.77,1.67,1,90866
20070131:1900,16,67.85,0,0,0,322.05,1.62,359,90875
20070131:2000,16.51,64.67,0,0,0,320.34,1.58,6,90822
20070131:2100,17.02,61.49,0,0,0,318.62,1.53,12,90813
20070131:2200,17.52,58.31,0,0,0,316.91,1.49,18,90804
20070131:2300,18.03,55.13,0,0,0,315.2,1.44,24,90786
20060201:0000,18.54,51.95,0,0,0,313.48,1.4,55,90938
20060201:0100,19.04,48.77,0,0,0,311.77,1.36,67,90964
20060201:0200,19.55,45.59,22,0,22,310.05,1.31,84,91000
20060201:0300,20.06,42.41,248,543.75,89,308.33,1.27,95,91054
20060201:0400,20.56,39.23,476,761.27,109,306.62,1.22,96,91072
20060201:0500,21.07,36.05,652,811.05,140,304.9,1.18,80,91090
20060201:0600,21.58,32.87,773,844.03,157,303.19,1.13,44,91009
20060201:0700,22.09,29.69,832,880.66,153,301.48,1.09,56,90902
20060201:0800,28.59,17.6,806,860.33,159,330.2,0.9,60,90759
20060201:0900,28.95,16.75,704,799.49,165,331.6,0.83,59,90652
20060201:1000,28.92,16.35,549,751.72,141,331.6,0.83,55,90616
20060201:1100,28.45,16.5,347,651.72,108,330.6,0.97,44,90598
20060201:1200,26.83,24,120,392.24,58,327,1.03,25,90625
20060201:1300,24.11,27.6,0,0,0,321.4,1.1,27,90723
20060201:1400,21.37,35,0,0,0,317.8,1.31,30,90822
20060201:1500,19.18,38.8,0,0,0,315,1.93,32,90911
20060201:1600,17.73,39.65,0,0,0,313.4,2,44,90982
20060201:1700,16.62,41.65,0,0,0,310.2,2,56,90982
20060201:1800,15.73,43.85,0,0,0,307.2,2,61,90973
20060201:1900,15.05,46.05,0,0,0,303.6,2.07,59,90929
20060201:2000,14.33,46.95,0,0,0,301.2,2.14,61,90902
20060201:2100,13.73,48.15,0,0,0,299.4,2.21,64,90866
20060201:2200,13.17,50.45,0,0,0,297,2.14,64,90875
20060201:2300,12.62,53.25,0,0,0,295.4,2.07,65,90866
20060202:0000,12.26,55.4,0,0,0,293.8,1.93,71,90893
20060202:0100,12.11,58.6,0,0,0,292.4,1.86,79,90920
20060202:0200,12.57,60.8,22,0,22,290.8,1.66,84,90964
20060202:0300,17.4,52.2,250,543.6,90,294.4,0.9,88,91018
20060202:0400,23.13,30.45,471,720.5,122,303,0.97,90,91063
20060202:0500,25.51,24.2,655,812.4,140,314,0.69,85,91036
20060202:0600,26.86,22.05,785,877.5,142,323.2,0.55,22,90991
20060202:0700,27.57,21.35,845,915.83,136,332,1.17,8,90875
20060202:0800,28.13,20.3,819,893.68,144,335.8,1.31,353,90777
20060202:0900,28.34,19.75,723,863.5,138,338,1.45,345,90679
20060202:1000,28.19,19.7,553,754.61,141,337.6,1.72,345,90688
20060202:1100,27.52,20.1,344,616.6,116,336.4,2.21,349,90679
20060202:1200,26,22.2,124,404.07,59,332.8,2.28,354,90723
20060202:1300,23.69,26.2,0,0,0,328,2.28,2,90795
20060202:1400,21.97,30.1,0,0,0,323.2,2.14,14,90822
20060202:1500,20.65,33.05,0,0,0,318.6,2,29,90902
20060202:1600,19.35,35.7,0,0,0,314.4,2,44,90947
20060202:1700,18.12,37.35,0,0,0,310.2,2.07,51,90991
20060202:1800,16.9,39.95,0,0,0,306,2.07,55,90947
20060202:1900,15.69,45.65,0,0,0,301.4,1.79,69,90938
20060202:2000,15.3,44.7,0,0,0,299,1.59,82,90884
20060202:2100,15.17,43.4,0,0,0,297,1.45,80,90848
20060202:2200,13.87,47.55,0,0,0,296,1.86,58,90866
20060202:2300,12.95,49.6,0,0,0,295.2,2.07,50,90893
20060203:0000,12.55,50.75,0,0,0,294.6,2.14,49,90929
20060203:0100,12.13,56,0,0,0,293.2,2.14,51,91009
20060203:0200,12.14,63.45,23,0,23,291.6,2,54,91063
20060203:0300,16.85,53.15,253,556.81,88,294.2,1.45,52,91116
20060203:0400,21.97,30.6,476,735.49,118,301.8,1.93,46,91152
20060203:0500,24.31,22.9,655,797.96,147,311.4,2.28,32,91152
20060203:0600,25.76,19.4,780,846.77,157,319,2.48,18,91098
20060203:0700,26.54,19.1,839,882.49,153,323.4,2.76,9,91027
20060203:0800,26.98,18.55,818,879.25,151,326.2,2.9,1,90920
20060203:0900,27.05,18.45,715,816.71,159,327.6,3.03,357,90839
20060203:1000,26.71,18.9,557,755.65,142,327.4,3.24,357,90831
20060203:1100,25.92,19.95,355,667.89,106,325.8,3.31,359,90813
20060203:1200,24.62,22.05,127,415.52,59,322.4,2.62,360,90866
